Filter Strip %,Till/No Till,Tilling Date,Fertilizer Composition,Spring Fertilizer Amount (kg/ha),Spring Fertilizer Date,Summer Fertilizer Amount (kg/ha),Fertilizer Application Method,Cover Crop,scenario
3,Till,1-Apr,26:13:00,0,1-May,0,Injection,Winter Rye,123
5,Till,1-Apr,26:13:00,0,1-May,0,Injection,Winter Rye,124
0,Till,15-Apr,26:13:00,0,1-May,0,Injection,Winter Rye,125
1,Till,15-Apr,26:13:00,0,1-May,0,Injection,Winter Rye,126
3,Till,15-Apr,26:13:00,0,1-May,0,Injection,Winter Rye,127
5,Till,15-Apr,26:13:00,0,1-May,0,Injection,Winter Rye,128
0,Till,1-Apr,28:10:10,0,1-May,0,Injection,Winter Rye,129
1,Till,1-Apr,28:10:10,0,1-May,0,Injection,Winter Rye,130
3,Till,1-Apr,28:10:10,0,1-May,0,Injection,Winter Rye,131
5,Till,1-Apr,28:10:10,0,1-May,0,Injection,Winter Rye,132
0,Till,15-Apr,28:10:10,0,1-May,0,Injection,Winter Rye,133
1,Till,15-Apr,28:10:10,0,1-May,0,Injection,Winter Rye,134
3,Till,15-Apr,28:10:10,0,1-May,0,Injection,Winter Rye,135
5,Till,15-Apr,28:10:10,0,1-May,0,Injection,Winter Rye,136
0,Till,1-Apr,Dairy Manure,0,1-May,0,Injection,Winter Rye,137
1,Till,1-Apr,Dairy Manure,0,1-May,0,Injection,Winter Rye,138
3,Till,1-Apr,Dairy Manure,0,1-May,0,Injection,Winter Rye,139
5,Till,1-Apr,Dairy Manure,0,1-May,0,Injection,Winter Rye,140
0,Till,15-Apr,Dairy Manure,0,1-May,0,Injection,Winter Rye,141
1,Till,15-Apr,Dairy Manure,0,1-May,0,Injection,Winter Rye,142
3,Till,15-Apr,Dairy Manure,0,1-May,0,Injection,Winter Rye,143
5,Till,15-Apr,Dairy Manure,0,1-May,0,Injection,Winter Rye,144
0,Till,1-Apr,26:13:00,140,1-May,0,Injection,Winter Rye,145
1,Till,1-Apr,26:13:00,140,1-May,0,Injection,Winter Rye,146
3,Till,1-Apr,26:13:00,140,1-May,0,Injection,Winter Rye,147
5,Till,1-Apr,26:13:00,140,1-May,0,Injection,Winter Rye,148
0,Till,15-Apr,26:13:00,140,1-May,0,Injection,Winter Rye,149
1,Till,15-Apr,26:13:00,140,1-May,0,Injection,Winter Rye,150
3,Till,15-Apr,26:13:00,140,1-May,0,Injection,Winter Rye,151
5,Till,15-Apr,26:13:00,140,1-May,0,Injection,Winter Rye,152
0,Till,1-Apr,28:10:10,140,1-May,0,Injection,Winter Rye,153
1,Till,1-Apr,28:10:10,140,1-May,0,Injection,Winter Rye,154
3,Till,1-Apr,28:10:10,140,1-May,0,Injection,Winter Rye,155
5,Till,1-Apr,28:10:10,140,1-May,0,Injection,Winter Rye,156
0,Till,15-Apr,28:10:10,140,1-May,0,Injection,Winter Rye,157
1,Till,15-Apr,28:10:10,140,1-May,0,Injection,Winter Rye,158
3,Till,15-Apr,28:10:10,140,1-May,0,Injection,Winter Rye,159
5,Till,15-Apr,28:10:10,140,1-May,0,Injection,Winter Rye,160
0,Till,1-Apr,Dairy Manure,140,1-May,0,Injection,Winter Rye,161
1,Till,1-Apr,Dairy Manure,140,1-May,0,Injection,Winter Rye,162
3,Till,1-Apr,Dairy Manure,140,1-May,0,Injection,Winter Rye,163
5,Till,1-Apr,Dairy Manure,140,1-May,0,Injection,Winter Rye,164
0,Till,15-Apr,Dairy Manure,140,1-May,0,Injection,Winter Rye,165
1,Till,15-Apr,Dairy Manure,140,1-May,0,Injection,Winter Rye,166
3,Till,15-Apr,Dairy Manure,140,1-May,0,Injection,Winter Rye,167
5,Till,15-Apr,Dairy Manure,140,1-May,0,Injection,Winter Rye,168
0,Till,1-Apr,26:13:00,280,1-May,0,Injection,Winter Rye,169
1,Till,1-Apr,26:13:00,280,1-May,0,Injection,Winter Rye,170
3,Till,1-Apr,26:13:00,280,1-May,0,Injection,Winter Rye,171
5,Till,1-Apr,26:13:00,280,1-May,0,Injection,Winter Rye,172
0,Till,15-Apr,26:13:00,280,1-May,0,Injection,Winter Rye,173
1,Till,15-Apr,26:13:00,280,1-May,0,Injection,Winter Rye,174
3,Till,15-Apr,26:13:00,280,1-May,0,Injection,Winter Rye,175
5,Till,15-Apr,26:13:00,280,1-May,0,Injection,Winter Rye,176
0,Till,1-Apr,28:10:10,280,1-May,0,Injection,Winter Rye,177
1,Till,1-Apr,28:10:10,280,1-May,0,Injection,Winter Rye,178
3,Till,1-Apr,28:10:10,280,1-May,0,Injection,Winter Rye,179
5,Till,1-Apr,28:10:10,280,1-May,0,Injection,Winter Rye,180
0,Till,15-Apr,28:10:10,280,1-May,0,Injection,Winter Rye,181
1,Till,15-Apr,28:10:10,280,1-May,0,Injection,Winter Rye,182
3,Till,15-Apr,28:10:10,280,1-May,0,Injection,Winter Rye,183
5,Till,15-Apr,28:10:10,280,1-May,0,Injection,Winter Rye,184
0,Till,1-Apr,Dairy Manure,280,1-May,0,Injection,Winter Rye,185
1,Till,1-Apr,Dairy Manure,280,1-May,0,Injection,Winter Rye,186
3,Till,1-Apr,Dairy Manure,280,1-May,0,Injection,Winter Rye,187
5,Till,1-Apr,Dairy Manure,280,1-May,0,Injection,Winter Rye,188
0,Till,15-Apr,Dairy Manure,280,1-May,0,Injection,Winter Rye,189
1,Till,15-Apr,Dairy Manure,280,1-May,0,Injection,Winter Rye,190
3,Till,15-Apr,Dairy Manure,280,1-May,0,Injection,Winter Rye,191
5,Till,15-Apr,Dairy Manure,280,1-May,0,Injection,Winter Rye,192
0,Till,1-Apr,26:13:00,560,1-May,0,Injection,Winter Rye,193
1,Till,1-Apr,26:13:00,560,1-May,0,Injection,Winter Rye,194
3,Till,1-Apr,26:13:00,560,1-May,0,Injection,Winter Rye,195
5,Till,1-Apr,26:13:00,560,1-May,0,Injection,Winter Rye,196
0,Till,15-Apr,26:13:00,560,1-May,0,Injection,Winter Rye,197
1,Till,15-Apr,26:13:00,560,1-May,0,Injection,Winter Rye,198
3,Till,15-Apr,26:13:00,560,1-May,0,Injection,Winter Rye,199
5,Till,15-Apr,26:13:00,560,1-May,0,Injection,Winter Rye,200
0,Till,1-Apr,28:10:10,560,1-May,0,Injection,Winter Rye,201
1,Till,1-Apr,28:10:10,560,1-May,0,Injection,Winter Rye,202
3,Till,1-Apr,28:10:10,560,1-May,0,Injection,Winter Rye,203
5,Till,1-Apr,28:10:10,560,1-May,0,Injection,Winter Rye,204
0,Till,15-Apr,28:10:10,560,1-May,0,Injection,Winter Rye,205
1,Till,15-Apr,28:10:10,560,1-May,0,Injection,Winter Rye,206
3,Till,15-Apr,28:10:10,560,1-May,0,Injection,Winter Rye,207
5,Till,15-Apr,28:10:10,560,1-May,0,Injection,Winter Rye,208
0,Till,1-Apr,Dairy Manure,560,1-May,0,Injection,Winter Rye,209
1,Till,1-Apr,Dairy Manure,560,1-May,0,Injection,Winter Rye,210
3,Till,1-Apr,Dairy Manure,560,1-May,0,Injection,Winter Rye,211
5,Till,1-Apr,Dairy Manure,560,1-May,0,Injection,Winter Rye,212
0,Till,15-Apr,Dairy Manure,560,1-May,0,Injection,Winter Rye,213
1,Till,15-Apr,Dairy Manure,560,1-May,0,Injection,Winter Rye,214
3,Till,15-Apr,Dairy Manure,560,1-May,0,Injection,Winter Rye,215
5,Till,15-Apr,Dairy Manure,560,1-May,0,Injection,Winter Rye,216
0,Till,1-Apr,26:13:00,1120,1-May,0,Injection,Winter Rye,217
1,Till,1-Apr,26:13:00,1120,1-May,0,Injection,Winter Rye,218
3,Till,1-Apr,26:13:00,1120,1-May,0,Injection,Winter Rye,219
5,Till,1-Apr,26:13:00,1120,1-May,0,Injection,Winter Rye,220
0,Till,15-Apr,26:13:00,1120,1-May,0,Injection,Winter Rye,221
1,Till,15-Apr,26:13:00,1120,1-May,0,Injection,Winter Rye,222
3,Till,15-Apr,26:13:00,1120,1-May,0,Injection,Winter Rye,223
5,Till,15-Apr,26:13:00,1120,1-May,0,Injection,Winter Rye,224
0,Till,1-Apr,28:10:10,1120,1-May,0,Injection,Winter Rye,225
1,Till,1-Apr,28:10:10,1120,1-May,0,Injection,Winter Rye,226
3,Till,1-Apr,28:10:10,1120,1-May,0,Injection,Winter Rye,227
5,Till,1-Apr,28:10:10,1120,1-May,0,Injection,Winter Rye,228
0,Till,15-Apr,28:10:10,1120,1-May,0,Injection,Winter Rye,229
1,Till,15-Apr,28:10:10,1120,1-May,0,Injection,Winter Rye,230
3,Till,15-Apr,28:10:10,1120,1-May,0,Injection,Winter Rye,231
5,Till,15-Apr,28:10:10,1120,1-May,0,Injection,Winter Rye,232
0,Till,1-Apr,Dairy Manure,1120,1-May,0,Injection,Winter Rye,233
1,Till,1-Apr,Dairy Manure,1120,1-May,0,Injection,Winter Rye,234
3,Till,1-Apr,Dairy Manure,1120,1-May,0,Injection,Winter Rye,235
5,Till,1-Apr,Dairy Manure,1120,1-May,0,Injection,Winter Rye,236
0,Till,15-Apr,Dairy Manure,1120,1-May,0,Injection,Winter Rye,237
1,Till,15-Apr,Dairy Manure,1120,1-May,0,Injection,Winter Rye,238
3,Till,15-Apr,Dairy Manure,1120,1-May,0,Injection,Winter Rye,239
5,Till,15-Apr,Dairy Manure,1120,1-May,0,Injection,Winter Rye,240
0,Till,1-Apr,26:13:00,0,1-Feb,140,Injection,Winter Rye,241
1,Till,1-Apr,26:13:00,0,1-Feb,140,Injection,Winter Rye,242
3,Till,1-Apr,26:13:00,0,1-Feb,140,Injection,Winter Rye,243
5,Till,1-Apr,26:13:00,0,1-Feb,140,Injection,Winter Rye,244
0,Till,15-Apr,26:13:00,0,1-Feb,140,Injection,Winter Rye,245
1,Till,15-Apr,26:13:00,0,1-Feb,140,Injection,Winter Rye,246
3,Till,15-Apr,26:13:00,0,1-Feb,140,Injection,Winter Rye,247
5,Till,15-Apr,26:13:00,0,1-Feb,140,Injection,Winter Rye,248
0,Till,1-Apr,28:10:10,0,1-Feb,140,Injection,Winter Rye,249
1,Till,1-Apr,28:10:10,0,1-Feb,140,Injection,Winter Rye,250
3,Till,1-Apr,28:10:10,0,1-Feb,140,Injection,Winter Rye,251
5,Till,1-Apr,28:10:10,0,1-Feb,140,Injection,Winter Rye,252
0,Till,15-Apr,28:10:10,0,1-Feb,140,Injection,Winter Rye,253
1,Till,15-Apr,28:10:10,0,1-Feb,140,Injection,Winter Rye,254
3,Till,15-Apr,28:10:10,0,1-Feb,140,Injection,Winter Rye,255
5,Till,15-Apr,28:10:10,0,1-Feb,140,Injection,Winter Rye,256
0,Till,1-Apr,Dairy Manure,0,1-Feb,140,Injection,Winter Rye,257
1,Till,1-Apr,Dairy Manure,0,1-Feb,140,Injection,Winter Rye,258
3,Till,1-Apr,Dairy Manure,0,1-Feb,140,Injection,Winter Rye,259
5,Till,1-Apr,Dairy Manure,0,1-Feb,140,Injection,Winter Rye,260
0,Till,15-Apr,Dairy Manure,0,1-Feb,140,Injection,Winter Rye,261
1,Till,15-Apr,Dairy Manure,0,1-Feb,140,Injection,Winter Rye,262
3,Till,15-Apr,Dairy Manure,0,1-Feb,140,Injection,Winter Rye,263
5,Till,15-Apr,Dairy Manure,0,1-Feb,140,Injection,Winter Rye,264
0,Till,1-Apr,26:13:00,140,1-Feb,140,Injection,Winter Rye,265
1,Till,1-Apr,26:13:00,140,1-Feb,140,Injection,Winter Rye,266
3,Till,1-Apr,26:13:00,140,1-Feb,140,Injection,Winter Rye,267
5,Till,1-Apr,26:13:00,140,1-Feb,140,Injection,Winter Rye,268
0,Till,15-Apr,26:13:00,140,1-Feb,140,Injection,Winter Rye,269
1,Till,15-Apr,26:13:00,140,1-Feb,140,Injection,Winter Rye,270
3,Till,15-Apr,26:13:00,140,1-Feb,140,Injection,Winter Rye,271
5,Till,15-Apr,26:13:00,140,1-Feb,140,Injection,Winter Rye,272
0,Till,1-Apr,28:10:10,140,1-Feb,140,Injection,Winter Rye,273
1,Till,1-Apr,28:10:10,140,1-Feb,140,Injection,Winter Rye,274
3,Till,1-Apr,28:10:10,140,1-Feb,140,Injection,Winter Rye,275
5,Till,1-Apr,28:10:10,140,1-Feb,140,Injection,Winter Rye,276
0,Till,15-Apr,28:10:10,140,1-Feb,140,Injection,Winter Rye,277
1,Till,15-Apr,28:10:10,140,1-Feb,140,Injection,Winter Rye,278
3,Till,15-Apr,28:10:10,140,1-Feb,140,Injection,Winter Rye,279
5,Till,15-Apr,28:10:10,140,1-Feb,140,Injection,Winter Rye,280
0,Till,1-Apr,Dairy Manure,140,1-Feb,140,Injection,Winter Rye,281
1,Till,1-Apr,Dairy Manure,140,1-Feb,140,Injection,Winter Rye,282
3,Till,1-Apr,Dairy Manure,140,1-Feb,140,Injection,Winter Rye,283
5,Till,1-Apr,Dairy Manure,140,1-Feb,140,Injection,Winter Rye,284
0,Till,15-Apr,Dairy Manure,140,1-Feb,140,Injection,Winter Rye,285
1,Till,15-Apr,Dairy Manure,140,1-Feb,140,Injection,Winter Rye,286
3,Till,15-Apr,Dairy Manure,140,1-Feb,140,Injection,Winter Rye,287
5,Till,15-Apr,Dairy Manure,140,1-Feb,140,Injection,Winter Rye,288
0,Till,1-Apr,26:13:00,280,1-Feb,140,Injection,Winter Rye,289
1,Till,1-Apr,26:13:00,280,1-Feb,140,Injection,Winter Rye,290
3,Till,1-Apr,26:13:00,280,1-Feb,140,Injection,Winter Rye,291
5,Till,1-Apr,26:13:00,280,1-Feb,140,Injection,Winter Rye,292
0,Till,15-Apr,26:13:00,280,1-Feb,140,Injection,Winter Rye,293
1,Till,15-Apr,26:13:00,280,1-Feb,140,Injection,Winter Rye,294
3,Till,15-Apr,26:13:00,280,1-Feb,140,Injection,Winter Rye,295
5,Till,15-Apr,26:13:00,280,1-Feb,140,Injection,Winter Rye,296
0,Till,1-Apr,28:10:10,280,1-Feb,140,Injection,Winter Rye,297
1,Till,1-Apr,28:10:10,280,1-Feb,140,Injection,Winter Rye,298
3,Till,1-Apr,28:10:10,280,1-Feb,140,Injection,Winter Rye,299
5,Till,1-Apr,28:10:10,280,1-Feb,140,Injection,Winter Rye,300
0,Till,15-Apr,28:10:10,280,1-Feb,140,Injection,Winter Rye,301
1,Till,15-Apr,28:10:10,280,1-Feb,140,Injection,Winter Rye,302
3,Till,15-Apr,28:10:10,280,1-Feb,140,Injection,Winter Rye,303
5,Till,15-Apr,28:10:10,280,1-Feb,140,Injection,Winter Rye,304
0,Till,1-Apr,Dairy Manure,280,1-Feb,140,Injection,Winter Rye,305
1,Till,1-Apr,Dairy Manure,280,1-Feb,140,Injection,Winter Rye,306
3,Till,1-Apr,Dairy Manure,280,1-Feb,140,Injection,Winter Rye,307
5,Till,1-Apr,Dairy Manure,280,1-Feb,140,Injection,Winter Rye,308
0,Till,15-Apr,Dairy Manure,280,1-Feb,140,Injection,Winter Rye,309
1,Till,15-Apr,Dairy Manure,280,1-Feb,140,Injection,Winter Rye,310
3,Till,15-Apr,Dairy Manure,280,1-Feb,140,Injection,Winter Rye,311
5,Till,15-Apr,Dairy Manure,280,1-Feb,140,Injection,Winter Rye,312
0,Till,1-Apr,26:13:00,560,1-Feb,140,Injection,Winter Rye,313
1,Till,1-Apr,26:13:00,560,1-Feb,140,Injection,Winter Rye,314
3,Till,1-Apr,26:13:00,560,1-Feb,140,Injection,Winter Rye,315
5,Till,1-Apr,26:13:00,560,1-Feb,140,Injection,Winter Rye,316
0,Till,15-Apr,26:13:00,560,1-Feb,140,Injection,Winter Rye,317
1,Till,15-Apr,26:13:00,560,1-Feb,140,Injection,Winter Rye,318
3,Till,15-Apr,26:13:00,560,1-Feb,140,Injection,Winter Rye,319
5,Till,15-Apr,26:13:00,560,1-Feb,140,Injection,Winter Rye,320
0,Till,1-Apr,28:10:10,560,1-Feb,140,Injection,Winter Rye,321
1,Till,1-Apr,28:10:10,560,1-Feb,140,Injection,Winter Rye,322
3,Till,1-Apr,28:10:10,560,1-Feb,140,Injection,Winter Rye,323
5,Till,1-Apr,28:10:10,560,1-Feb,140,Injection,Winter Rye,324
0,Till,15-Apr,28:10:10,560,1-Feb,140,Injection,Winter Rye,325
1,Till,15-Apr,28:10:10,560,1-Feb,140,Injection,Winter Rye,326
3,Till,15-Apr,28:10:10,560,1-Feb,140,Injection,Winter Rye,327
5,Till,15-Apr,28:10:10,560,1-Feb,140,Injection,Winter Rye,328
0,Till,1-Apr,Dairy Manure,560,1-Feb,140,Injection,Winter Rye,329
1,Till,1-Apr,Dairy Manure,560,1-Feb,140,Injection,Winter Rye,330
3,Till,1-Apr,Dairy Manure,560,1-Feb,140,Injection,Winter Rye,331
5,Till,1-Apr,Dairy Manure,560,1-Feb,140,Injection,Winter Rye,332
0,Till,15-Apr,Dairy Manure,560,1-Feb,140,Injection,Winter Rye,333
1,Till,15-Apr,Dairy Manure,560,1-Feb,140,Injection,Winter Rye,334
3,Till,15-Apr,Dairy Manure,560,1-Feb,140,Injection,Winter Rye,335
5,Till,15-Apr,Dairy Manure,560,1-Feb,140,Injection,Winter Rye,336
0,Till,1-Apr,26:13:00,1120,1-Feb,140,Injection,Winter Rye,337
1,Till,1-Apr,26:13:00,1120,1-Feb,140,Injection,Winter Rye,338
3,Till,1-Apr,26:13:00,1120,1-Feb,140,Injection,Winter Rye,339
5,Till,1-Apr,26:13:00,1120,1-Feb,140,Injection,Winter Rye,340
0,Till,15-Apr,26:13:00,1120,1-Feb,140,Injection,Winter Rye,341
1,Till,15-Apr,26:13:00,1120,1-Feb,140,Injection,Winter Rye,342
3,Till,15-Apr,26:13:00,1120,1-Feb,140,Injection,Winter Rye,343
